"name_1006","GO_IDs","F0","F4","Healthy"
"secretory granule","GO:0030141","P02788, P05164","P05164, P02788, P08246","P05164, P02788, P08246"
"secretory granule lumen","GO:0034774","P04040, P28066, P20618, P55072, Q14764, O75874, P02647, P25787","Q14764, P04040, P55072, P20618, P28066","P04040, P28066, P02647, P20618, P55072"
"sensory perception of mechanical stimulus","GO:0050954","P12109","P12109","P12109"
"sensory perception of sound","GO:0007605",NA,NA,"P12882"
"sensory perception of taste","GO:0050909",NA,"P16671",NA
"serine-type endopeptidase activity","GO:0004252","P00738, P02788","P00738, P02788, P08246, P20160","P00738, P02788, P08246, P20160"
"serine-type endopeptidase inhibitor activity","GO:0004867","P01023, P07355, P12111","P01023, P07355, P12111","P01023, P12111, P07355"
"serine-type peptidase activity","GO:0008236","P02788","P02788, P08246","P02788, P08246"
"sex chromatin","GO:0001739","O75367","O75367",NA
"short-chain fatty acid transmembrane transporter activity","GO:0015636",NA,"P16671",NA
"short-chain fatty acid transport","GO:0015912",NA,"P16671",NA
"side of membrane","GO:0098552",NA,"P04216",NA
"signal transduction","GO:0007165","P08758, Q08380, Q9HAV0, P04083","P08758, P04083, Q9HAV0, Q08380","P08758, Q08380"
"signaling receptor activity","GO:0038023","P04264","P04264","P04264"
"signaling receptor binding","GO:0005102","P02675, P02679, P01023, P02671, Q03135, Q13790, Q16363, P02751, O00159, P04083, P02647","P02675, P02679, P02671, P01023, Q03135, P02751, Q13790, O00159, Q16363, P04083","P02675, P01023, P02679, P02671, Q16363, Q03135, P02751, O00159, P02647"
"signaling receptor complex adaptor activity","GO:0030159","Q9HAV0","Q9HAV0",NA
"single fertilization","GO:0007338","P84243, P12109","P84243, P12109","P84243, P12109"
"single-stranded DNA binding","GO:0003697","P01871","P01871, P01591","P01871, P01591"
"site of DNA damage","GO:0090734","P16104, O75367","P16104, O75367","P16104"
"site of double-strand break","GO:0035861","P16104, P55072","P16104, P55072","P16104, P55072"
"skeletal muscle contraction","GO:0003009",NA,NA,"P13535"
"skeletal muscle fiber development","GO:0048741","P12109","P12109","P12109"
"skeletal muscle fiber differentiation","GO:0098528","P12109","P12109","P12109"
"skeletal muscle organ development","GO:0060538","P12109","P12109","P12109"
"skeletal muscle thin filament assembly","GO:0030240",NA,NA,"P68032"
"skeletal muscle tissue development","GO:0007519","P12109, Q03135","Q03135, P12109","P12109, Q03135"
"skeletal muscle tissue growth","GO:0048630","P12109","P12109","P12109"
"skeletal muscle tissue regeneration","GO:0043403","P12109","P12109","P12109"
"skeletal system development","GO:0001501","P13611","P13611","P13611"
"skin development","GO:0043588","P12109","P12109, P35527","P12109, P35527"
"small GTPase binding","GO:0031267","Q03135, O00159","Q03135, O00159","Q03135, O00159"
"smooth muscle cell-matrix adhesion","GO:0061302",NA,"P04004",NA
"smoothened signaling pathway","GO:0007224","P98160","P98160","P98160"
"solute:inorganic anion antiporter activity","GO:0005452",NA,"P02730",NA
"specific granule","GO:0042581","P02788","P02788","P02788"
"specific granule lumen","GO:0035580","P00738, P02788","P00738, P02788, P08246","P00738, P02788, P08246"
"specific granule membrane","GO:0035579",NA,"P16671",NA
"sperm fibrous sheath","GO:0035686","P00338",NA,"P00338"
"spermatid development","GO:0007286","P84243","P84243","P84243, A2RUB1"
"spermatogenesis","GO:0007283","P16104, P84243","P16104, P84243, P35527","P16104, P84243, P35527, A2RUB1"
"spherical high-density lipoprotein particle","GO:0034366","P02647",NA,"P02647"
"spindle","GO:0005819","Q8IYT4, Q00610","Q8IYT4","Q8IYT4"
"spindle assembly","GO:0051225","P07437","P07437","P07437"
"spindle pole","GO:0000922","Q8IYT4","Q8IYT4","Q8IYT4"
"stem cell differentiation","GO:0048863","P01023","P01023","P01023"
"stereocilium membrane","GO:0060171","O00159","O00159","O00159"
"steroid metabolic process","GO:0008202","Q13790, Q05469, P02647","Q13790","P02647"
"sterol ester esterase activity","GO:0004771","Q05469",NA,NA
"stress fiber","GO:0001725",NA,NA,"P09493"
"stress granule disassembly","GO:0035617","P55072","P55072","P55072"
"stress-activated MAPK cascade","GO:0051403","P02511","P02511","P02511"
"structural constituent of chromatin","GO:0030527","P62805, P16104, Q5TEC6, P84243, O75367","P62805, P16104, Q5TEC6, P84243, O75367, Q8IUE6","P16104, P62805, Q5TEC6, P84243"
"structural constituent of cytoskeleton","GO:0005200","P08670, Q9BQE3, P68366, P07437, Q9BUF5","P08670, Q9BQE3, P68366, P35527, P07437, Q9BUF5","P08670, Q9BQE3, P09493, P35527, P68366, P07437, Q9BUF5"
"structural constituent of eye lens","GO:0005212","P02511, P08670","P02511, P08670","P02511, P08670"
"structural constituent of muscle","GO:0008307",NA,NA,"P05976, P13535, P09493"
"structural constituent of ribosome","GO:0003735","P62979","P62979","P62979"
"structural constituent of skin epidermis","GO:0030280","P04264, P13645","P04264, P35527, P13645","P04264, P35527, P13645"
"structural constituent of synapse-associated extracellular matrix","GO:0150043","P55268",NA,"P55268"
"structural molecule activity","GO:0005198","P02675, P02679, P02671, P02511, Q9BQE3, P07942, P07437, Q00610, P13645, P55268, P05783","P02675, P02679, P02671, P02511, Q9BQE3, P35527, P13645, P07942, P07437","P02675, P02511, P02679, P02671, Q9BQE3, P35527, P13645, P07942, P55268, P07437, P05783"
"substantia nigra development","GO:0021762","Q9HAV0, P00338","Q9HAV0","P00338"
"substrate adhesion-dependent cell spreading","GO:0034446","P11047, P07942, P02751","P02751, P11047, P07942","P11047, P07942, P02751"
"subtelomeric heterochromatin formation","GO:0031509","P84243","P84243","P84243"
"supramolecular fiber","GO:0099512",NA,NA,"P12882"
"symbiont-containing vacuole","GO:0020003",NA,"P04004",NA
"synapse","GO:0045202","P02675, Q562R1, Q9NQC3, P62979, Q9HAV0, Q05639, P55072, P55268, P13611, O95197","P02675, Q562R1, P62979, Q9NQC3, O95197, P55072, P13611, Q9HAV0","P02675, Q562R1, Q9NQC3, P68032, P13611, P55268, P62979, P55072"
"synapse organization","GO:0050808","P55268",NA,"P55268"
"synaptic cleft","GO:0043083","P55268",NA,"P55268"
"synaptic membrane","GO:0097060","P02511","P02511","P02511"
"synaptonemal complex assembly","GO:0007130",NA,NA,"A2RUB1"
"system development","GO:0048731","P13611","P13611","P13611"
"telomere organization","GO:0032200","P62805, P84243","P62805, P84243","P62805, P84243"
"tertiary granule lumen","GO:1904724","P68871, P02794, P00738, P02788, O75874","P68871, P02794, P00738, P02788","P68871, P02794, P00738, P02788"
"threonine-type endopeptidase activity","GO:0004298",NA,NA,"P28072"
"tissue development","GO:0009888","P49327, P12109, P11047","P49327, P12109, P11047","P12109, P49327, P11047"
"tissue remodeling","GO:0048771","P12109","P12109","P12109"
"toll-like receptor 4 signaling pathway","GO:0034142","Q03135","Q03135","Q03135"
"toxic substance binding","GO:0015643","P02768, P00966","P02768, P20160","P02768, P00966, P20160"
"trans-Golgi network","GO:0005802","Q00610",NA,NA
"transcription cis-regulatory region binding","GO:0000976","O75367","O75367",NA
"transcription corepressor activity","GO:0003714",NA,"P08246","P08246"
"transcription initiation-coupled chromatin remodeling","GO:0045815","O75367","O75367",NA
"transcription repressor complex","GO:0017053",NA,"P08246","P08246"
"transferase activity","GO:0016740","P49327, Q00266","P49327, P10620","P06732, P49327, Q16851"
"transferase activity, transferring phosphorus-containing groups","GO:0016772",NA,NA,"P06732"
"transferrin transport","GO:0033572","Q00610",NA,NA
"transforming growth factor beta binding","GO:0050431",NA,"P16671",NA
"translation","GO:0006412","P62979, Q05639","P62979","P62979"
"translation elongation factor activity","GO:0003746","Q05639",NA,NA
"translation factor activity, RNA binding","GO:0008135","Q05639",NA,NA
"translational elongation","GO:0006414","Q05639",NA,NA
"translesion synthesis","GO:0019985","P55072","P55072","P55072"
"transmembrane transport","GO:0055085",NA,"P02730",NA
"transmembrane transporter binding","GO:0044325","Q03135","Q03135","Q03135"
"transmission of nerve impulse","GO:0019226","P12109","P12109","P12109"
"transporter activity","GO:0005215",NA,NA,"O14983"
"triacylglycerol lipase activity","GO:0004806","Q05469",NA,NA
"tricarboxylic acid cycle","GO:0006099","P12109, O75874","P12109","P12109"
"triglyceride biosynthetic process","GO:0019432","P33121","P33121",NA
"triglyceride catabolic process","GO:0019433","Q05469",NA,NA
"triglyceride homeostasis","GO:0070328","P02647",NA,"P02647"
"triglyceride metabolic process","GO:0006641","P04040, Q03135, Q13790","Q03135, P04040, Q13790","P04040, Q03135"
"triglyceride transport","GO:0034197",NA,"P16671",NA
"tubulin complex assembly","GO:0007021","P02511","P02511","P02511"
"tumor necrosis factor binding","GO:0043120","P01023","P01023","P01023"
"tumor necrosis factor-mediated signaling pathway","GO:0033209","P05783",NA,"P05783"
"tyrosine biosynthetic process","GO:0006571","P00439",NA,NA
"tyrosine biosynthetic process, by oxidation of phenylalanine","GO:0019293","P00439",NA,NA
"ubiquitin protein ligase binding","GO:0031625","Q9NQC3, P62979, P07437, P55072, P25788","P62979, Q9NQC3, P55072, P07437, P25788","Q9NQC3, P62979, P07437, P55072"
"ubiquitin-dependent protein catabolic process","GO:0006511","P60900, O14818, P25789, P25786, P28066, P55072, P25788, P25787","P60900, O14818, P25789, P55072, P25786, P28066, P25788","P60900, O14818, P25789, P25786, P28066, P55072"
"ubiquitin-like protein ligase binding","GO:0044389","P55072","P55072","P55072"
"ubiquitin-modified protein reader activity","GO:0140036","P55072","P55072","P55072"
"ubiquitin-specific protease binding","GO:1990381","Q00610, P55072","P55072","P55072"
"unconventional myosin complex","GO:0016461","O00159","O00159","O00159"
"unfolded protein binding","GO:0051082","P02511","P02511","P02511"
"urea cycle","GO:0000050","P00966",NA,"P00966"
"ureteric bud development","GO:0001657","P04040","P04040","P04040"
"uridylyltransferase activity","GO:0070569",NA,NA,"Q16851"
"uterus development","GO:0060065","P12109","P12109","P12109"
"vascular endothelial growth factor signaling pathway","GO:0038084","O00159","O00159","O00159"
"vasculogenesis","GO:0001570","Q03135","Q03135","Q03135"
"vasoconstriction","GO:0042310","Q03135","Q03135","Q03135"
"ventricular cardiac muscle tissue morphogenesis","GO:0055010",NA,NA,"P09493"
"very long-chain fatty acid metabolic process","GO:0000038","P33121","P33121",NA
"very-low-density lipoprotein particle","GO:0034361","P02647",NA,"P02647"
"vesicle","GO:0031982","P07355, Q9BQE3, P62979, P04083","P62979, P07355, Q9BQE3, P04083, P08962","Q9BQE3, P07355, P62979"
"vesicle budding from membrane","GO:0006900","P07355","P07355","P07355"
"vesicle membrane","GO:0012506","P07355, P08758, P04083, P08133","P07355, P08758, P08133, P04083","P07355, P08758"
"vesicle organization","GO:0016050","Q03135","Q03135","Q03135"
"vesicle transport along actin filament","GO:0030050","O00159","O00159","O00159"
"vesicle-mediated transport","GO:0016192","Q08380, Q00610, O95197","P04004, O95197, Q08380","Q08380"
"viral genome replication","GO:0019079","P55072","P55072","P55072"
"visual perception","GO:0007601","P55268",NA,"P55268"
"vitamin transport","GO:0051180","P02647",NA,"P02647"
"wound healing","GO:0042060","P02751","P02751","P09493, P02751"
"xenobiotic catabolic process","GO:0042178","P33121","P33121",NA
"xenobiotic metabolic process","GO:0006805","P07099","P07099","P07099"
"zinc ion binding","GO:0008270","P00326, P00325, P62979, Q9ULA0","P62979, P00326, P00325","P00326, P62979, P00325"
"zymogen activation","GO:0031638","P00738","P00738","P00738"
