"name_1006","GO_IDs","Proteins","NumProteins_F0","ONTOLOGY"
"calcium-dependent protein binding","GO:0048306","A2MG - ANXA2 - ANXA1 - ANXA6",4,"MF"
"cell periphery","GO:0071944","ACTH - VWF - NID1 - K1C18",4,"CC"
"cholesterol binding","GO:0015485","CAV1 - APOF - APOA1 - ANXA6",4,"MF"
"cholesterol metabolic process","GO:0008203","CATA - APOF - LIPS - APOA1",4,"BP"
"chromosome, telomeric region","GO:0000781","H4 - H2AX - H33 - H2AY",4,"CC"
"ciliary basal body","GO:0036064","ADH1G - ADH1B - PSB4 - TERA",4,"CC"
"cornified envelope","GO:0001533","ANXA2 - K2C1 - K1C10 - ANXA1",4,"CC"
"endocytic vesicle lumen","GO:0071682","HBB - HBA - HPT - APOA1",4,"CC"
"fibrinogen complex","GO:0005577","FIBB - FIBG - FIBA - FINC",4,"CC"
"heme binding","GO:0020037","HBB - HBA - PERM - CATA",4,"MF"
"hydrogen peroxide catabolic process","GO:0042744","HBB - HBA - PERM - CATA",4,"BP"
"innate immune response","GO:0045087","FIBB - IGHM - FIBA - ANXA1",4,"BP"
"integrin binding","GO:0005178","VWF - LAMB1 - FINC - LAMB2",4,"MF"
"intermediate filament","GO:0005882","VIME - K2C1 - K1C10 - K1C18",4,"CC"
"lipid droplet","GO:0005811","ANXA2 - CAV1 - TERA - LIPS",4,"CC"
"lysosomal membrane","GO:0005765","ANXA2 - CO6A1 - GBB4 - ANXA6",4,"CC"
"microtubule cytoskeleton organization","GO:0000226","TBA1C - TBA4A - TBB5 - TBB6",4,"BP"
"microtubule-based process","GO:0007017","TBA1C - TBA4A - TBB5 - TBB6",4,"BP"
"neuron projection","GO:0043005","VIME - RTN4 - PGBM - RTN3",4,"CC"
"nucleolus","GO:0005730","RS27A - MYO1C - H2AY - K1C18",4,"CC"
"nucleosome assembly","GO:0006334","H4 - H2AX - H33 - H2AY",4,"BP"
"peroxidase activity","GO:0004601","HBB - HBA - PERM - CATA",4,"MF"
"peroxisome","GO:0005777","VIME - CATA - ACSL1 - IDHC",4,"CC"
"phosphatidylserine binding","GO:0001786","ANXA2 - ANXA5 - ANXA1 - ANXA6",4,"MF"
"platelet activation","GO:0030168","FIBB - FIBG - FIBA - VWF",4,"BP"
"platelet alpha granule","GO:0031091","FIBB - FIBG - FIBA - VWF",4,"CC"
"positive regulation of cell adhesion","GO:0045785","LAMC1 - LAMB1 - NID1 - LAMB2",4,"BP"
"positive regulation of exocytosis","GO:0045921","FIBB - FIBG - FIBA - ANXA2",4,"BP"
"positive regulation of gene expression","GO:0010628","ACTH - VIME - CAV1 - FINC",4,"BP"
"positive regulation of integrin-mediated signaling pathway","GO:2001046","LAMC1 - LAMB1 - NID1 - LAMB2",4,"BP"
"positive regulation of muscle cell differentiation","GO:0051149","LAMC1 - LAMB1 - NID1 - LAMB2",4,"BP"
"positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction","GO:0051897","RTN4 - CATA - FINC - PGS2",4,"BP"
"positive regulation of substrate adhesion-dependent cell spreading","GO:1900026","FIBB - FIBG - FIBA - APOA1",4,"BP"
"positive regulation of vasoconstriction","GO:0045907","FIBB - FIBG - FIBA - CAV1",4,"BP"
"protease binding","GO:0002020","A2MG - ANXA2 - VWF - FINC",4,"MF"
"proteasome core complex, beta-subunit complex","GO:0019774","PSB2 - PSB4 - PSB1 - PSB3",4,"CC"
"protein complex involved in cell-matrix adhesion","GO:0098637","LAMC1 - LAMB1 - NID1 - LAMB2",4,"CC"
"protein domain specific binding","GO:0019904","VIME - EHD2 - TBB5 - TERA",4,"MF"
"protein-containing complex assembly","GO:0065003","FIBB - FIBG - FIBA - LAMC1",4,"BP"
"regulation of basement membrane organization","GO:0110011","LAMC1 - LAMB1 - NID1 - LAMB2",4,"BP"
"response to UV","GO:0009411","CO6A2 - CO6A1 - CO6A3 - CATA",4,"BP"
"response to calcium ion","GO:0051592","FIBB - FIBG - FIBA - CAV1",4,"BP"
"response to hypoxia","GO:0001666","CRYAB - PGBM - CATA - CAV1",4,"BP"
"response to oxidative stress","GO:0006979","PERM - CATA - K2C1 - IDHC",4,"BP"
